1663408014586|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists report_comment CASCADE |     drop table if exists report_comment CASCADE 
1663408014586|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists report_page CASCADE |     drop table if exists report_page CASCADE 
1663408014586|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists report_user CASCADE |     drop table if exists report_user CASCADE 
1663408014587|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists user_active CASCADE |     drop table if exists user_active CASCADE 
1663408014588|1|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists user_authority CASCADE |     drop table if exists user_authority CASCADE 
1663408014589|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists user_chat_room CASCADE |     drop table if exists user_chat_room CASCADE 
1663408014589|0|statement|connection 33|url jdbc:h2:mem:4b88be43-0bcb-48e9-84f5-908820a921f5|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1663690375149|2|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists authority CASCADE |     drop table if exists authority CASCADE 
1663690375151|1|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists block CASCADE |     drop table if exists block CASCADE 
1663690375152|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists chat CASCADE |     drop table if exists chat CASCADE 
1663690375153|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists chat_img_url CASCADE |     drop table if exists chat_img_url CASCADE 
1663690375154|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists chat_room CASCADE |     drop table if exists chat_room CASCADE 
1663690375154|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists comment CASCADE |     drop table if exists comment CASCADE 
1663690375155|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists email_auth CASCADE |     drop table if exists email_auth CASCADE 
1663690375155|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists filter CASCADE |     drop table if exists filter CASCADE 
1663690375155|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists follow CASCADE |     drop table if exists follow CASCADE 
1663690375156|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists hashtag CASCADE |     drop table if exists hashtag CASCADE 
1663690375156|0|statement|connection 36|url jdbc:h2:mem:ba404ee2-60e4-4844-a4d8-5a8b95dd16a1|     drop table if exists like_comment CASCADE |     drop table if exists like_comment CASCADE 
